No.;Time;Comment;Scramble;Date;P.1
3531;12.37;;F2 D R2 D' B2 F2 D R2 U2 F2 R2 U F' L B' U B2 D2 L F' D;2021-02-02 00:18:51;12.37
3532;12.75;;L R2 F' D2 R2 D2 B L2 F2 U2 R2 F L2 R U' B L' D' L2;2021-02-02 00:19:16;12.75
3533;14.75;;L2 D U2 R2 U L2 R2 D' U2 L2 U' F D L2 R F L' B' R' D' L2;2021-02-02 00:19:40;14.75
3534;11.49;;F R2 F2 R' L' U L' F B2 U R2 B2 L2 U R2 B2 L2 B2 U2;2021-02-02 00:20:08;11.49
3535;15.94;;U R2 F' R F2 U D B R U2 D2 F2 U2 R2 U2 L2 F' L2 B' D2;2021-02-02 00:20:34;15.94
3536;12.44;;L' U L' F' R U' F2 D' B' U' R2 U2 F2 D R2 F2 L2 U' B2 R2;2021-02-02 00:21:04;12.44
3537;14.58;;R' F' D F' B R2 D R F2 U2 L' D2 R' L2 F2 R B D;2021-02-02 00:21:26;14.58
3538;11.37;;D F B2 L' B2 R' B2 L' B2 R2 U2 R F2 R' U' R' F' D U2 B2 F2;2021-02-02 00:22:12;11.37
3539;12.84;;L2 D2 B' U2 B' L2 U' L' B2 U' B2 L2 U F2 R2 F2 D2 L;2021-02-02 00:22:33;12.84
3540;14.14;;F2 D F2 R2 D2 R2 D' R2 F2 U B2 D L U L F2 R2 U' B' L2 D;2021-02-02 00:23:04;14.14
3541;12.58;;U2 F L D2 F2 D2 F L2 D2 F' L2 U2 B' R' B' L2 U L U' L2;2021-02-02 00:23:29;12.58
3542;12.10;;D2 B' R2 B U2 B' R2 B2 L2 U2 R2 U F U L' U' B L2 F';2021-02-02 00:23:55;12.10
3543;11.98;;F' R2 F' R2 B L2 D2 F U2 R2 F R2 U R U L R2 U B' L' U2;2021-02-02 00:24:18;11.98
